game_id,play_id,frame_id,rec_id,rec_x,rec_y,def_id,def_x,def_y,qb_id,qb_x,qb_y,qb_s,absolute_yardline_number,play_direction,ball_land_x,ball_land_y,num_frames_output,num_frames_input,pass_result,pass_length,dropback_distance,los,last_qb_s,def2ball,rec2ball,def2rec,rec2side,def2side,ball2side,rec2goal
2023090700,101,47,44930,62.49,2.83,46137,62.87,4.63,NA,NA,NA,NA,42,right,63.2599983215332,-0.219999998807907,21,26,I,22,2.13000011444092,42,0.64,4.865655010297731,3.145695059584158,1.839673884143599,2.83,4.63,-0.219999998807907,107.17
2023090700,194,41,41325,35.94,33.3,54653,34.730000000000004,33.1,NA,NA,NA,NA,89,left,35.05999755859381,32.25,9,32,C,6,3.85999989509583,31,0.96,0.9118105004209333,1.3700015682037925,1.2264175471673515,20.700000000000003,20.9,21.75,76.7
2023090700,219,25,53591,45.61,44.09,53953,48.790000000000006,45.019999999999996,NA,NA,NA,NA,79,left,44.150001525878906,42.5100002288818,8,17,C,4,2.36999988555908,41,1.49,5.275384790786311,2.151277485860319,3.313200869250162,9.909999999999997,8.980000000000004,11.4899997711182,65.91
2023090700,361,67,38696,28.74,50.94,46137,30.62,50.03,NA,NA,NA,NA,22,right,26.1000003814697,49.1800003051758,16,51,C,5,3.02999997138977,22,4.95,4.59922776482262,3.172884635725253,2.0886598574205433,3.0600000000000023,3.969999999999999,4.819999694824197,59.06
2023090700,436,27,53541,35.58,35.35,46137,36.85,37.59,NA,NA,NA,NA,31,right,34.8899993896484,34.8199996948242,7,20,C,6,2.54999995231628,31,0.65,3.393302828109024,0.8700581393056563,2.574975728040949,18.65,16.409999999999997,19.180000305175803,74.65
2023090700,461,33,44930,56.57,18.17,46137,60.18,18.24,NA,NA,NA,NA,44,right,55.9099998474121,18.8299999237061,10,23,C,13,4.71999979019165,44,0.27,4.310568548703741,0.9333810051142596,3.6106786065779928,18.17,18.24,18.8299999237061,91.83
2023090700,530,28,53541,90.1,14,54568,90.74,16.21,NA,NA,NA,NA,86,right,88.6900024414062,15.1300001144409,8,20,C,4,2.07999992370605,86,0.66,2.3170864772485764,1.8069292664288017,2.3008042072284214,14,16.21,15.1300001144409,96
2023090700,621,36,53541,103.81,18.48,54527,104.06,20.14,NA,NA,NA,NA,101,right,102.919998168945,18.2700004577637,7,29,C,3,3.60999989509583,101,0.13,2.190091884550219,0.9144413961652833,1.6787197502859137,18.48,20.14,18.2700004577637,91.52
2023090700,713,32,53591,41.47,45.99,44888,41.620000000000005,45.519999999999996,NA,NA,NA,NA,83,left,40.0899963378906,45.02999973297119,8,24,I,4,3.53999996185303,37,1.38,1.606552665727613,1.6810742458709993,0.4933558553417678,8.009999999999998,8.480000000000004,8.970000267028809,64.00999999999999
2023090700,736,46,46213,53.03,12.57,55910,55.42,11.340000000000003,NA,NA,NA,NA,83,left,51.5299987792969,13.549999237060497,15,31,C,18,6.57999992370605,37,0.61,4.473947487943903,1.791759516997172,2.6879360111431216,12.57,11.340000000000003,13.549999237060497,97.43
2023090700,877,44,46243,84.37,17.59,47888,90.44,18.91,NA,NA,NA,NA,71,right,83.0599975585938,17.7099990844727,10,34,C,13,8.53999996185303,71,1.82,7.476927058118709,1.3154870492576065,6.2118676740574506,17.59,18.91,17.7099990844727,92.41
2023090700,902,39,55920,89,30.2,55910,90.4,29.45,NA,NA,NA,NA,85,right,88.370002746582,31.4400005340576,7,32,I,4,2.84999990463257,85,0.65,2.842708387160767,1.39086227347547,1.5882380174268642,23.8,24.55,22.5599994659424,79.8
2023090700,1001,50,55920,117.57,36.21,55910,115.55,39.65,NA,NA,NA,NA,109,right,115.610000610352,34.7999992370605,12,38,C,1,3.05999994277954,109,1.15,4.8503718902529895,2.4144771191524006,3.9892355157348094,17.79,14.350000000000001,19.200000762939503,73.78999999999999
2023090700,1069,37,53959,39.81,25.12,53487,43.86,28.51,NA,NA,NA,NA,85,left,37.639999389648395,24.9699993133545,6,31,C,5,4.8899998664856,35,0.49,7.156815804128604,2.1751788098729885,5.281533868110663,25.12,25.49,24.9699993133545,84.88
2023090700,1154,45,53541,68.64,38.49,54486,71.49000000000001,40.74,NA,NA,NA,NA,71,left,67.0400009155273,38.7600002288818,12,33,C,21,6.67000007629395,49,1.97,4.870615047962225,1.6226204713085868,3.631115531073068,15.509999999999998,13.259999999999998,15.2399997711182,71.50999999999999
2023090700,1201,26,55899,71.16,40.99,54486,73.00999999999999,44.67,NA,NA,NA,NA,51,left,68.61000061035159,37.5300006866455,7,19,C,2,2.75999999046326,69,3.21,8.386869786971122,4.298149850298482,4.118846926021891,13.009999999999998,9.329999999999998,16.4699993133545,69.00999999999999
2023090700,1422,49,53591,42.67,15.57,54562,40.17,13.85,NA,NA,NA,NA,22,right,44.6199989318848,15.4499998092651,22,27,I,23,5.92000007629395,22,1.55,4.728899436806011,1.9536877642367194,3.034534560686367,15.57,13.85,15.4499998092651,94.43
2023090700,1494,42,38696,70.6,35.18,54486,71.2,36.09,NA,NA,NA,NA,64,left,69.95000076293951,34.4699993133545,12,30,I,24,6.53999996185303,56,0.81,2.0461916619377862,0.9626006353708134,1.0900000000000079,18.82,17.909999999999997,19.5300006866455,74.82
2023090700,1563,52,55920,37.21,12.3,55882,36.49,15.37,NA,NA,NA,NA,28,right,35.9700012207031,12.3100004196167,7,45,C,10,2.71000003814697,28,6.13,3.1038679357241095,1.2400391046456247,3.153299858877996,12.3,15.37,12.3100004196167,97.7
2023090700,1588,53,46309,87.39,33.52,53953,88.49,33.72,NA,NA,NA,NA,53,right,88.6100006103516,33.1100006103516,23,30,I,38,4.59000015258789,53,2.25,0.6216907606327928,1.287051276667077,1.1180339887498885,20.479999999999997,20.28,20.889999389648402,76.47999999999999
